Time,Charleville Mall,Charleville Mall Cyclist IN,Charleville Mall Cyclist OUT,Clontarf - James Larkin Rd,Clontarf - James Larkin Rd Cyclist IN,Clontarf - James Larkin Rd Cyclist OUT,Clontarf - Pebble Beach Carpark,Clontarf - Pebble Beach Carpark Cyclist IN,Clontarf - Pebble Beach Carpark Cyclist OUT,Drumcondra Cyclists 1,Drumcondra Cyclists 1 Cyclist IN,Drumcondra Cyclists 1 Cyclist OUT,Drumcondra Cyclists 2,Drumcondra Cyclists 2 Cyclist IN,Drumcondra Cyclists 2 Cyclist OUT,Griffith Avenue (Clare Rd Side),Griffith Avenue (Clare Rd Side) Cyclist IN,Griffith Avenue (Clare Rd Side) Cyclist OUT,Griffith Avenue (Lane Side),Griffith Avenue (Lane Side) Cyclist IN,Griffith Avenue (Lane Side) Cyclist OUT,Grove Road Totem,Grove Road Totem OUT,Grove Road Totem IN,North Strand Rd N/B,North Strand Rd S/B,Richmond Street Cyclists 1,Richmond Street Cyclists 1 Cyclist IN,Richmond Street Cyclists 1 Cyclist OUT,Richmond Street Cyclists 2 ,Richmond Street Cyclists 2  Cyclist IN,Richmond Street Cyclists 2  Cyclist OUT
1/1/2023 0:00,1,0,1,1,1,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,,8,0,8,2,0,2
1/1/2023 1:00,0,0,0,6,4,2,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,13,9,4,0,,6,0,6,0,0,0
1/1/2023 2:00,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,9,4,5,0,,9,0,9,3,0,3
1/1/2023 3:00,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,12,7,5,0,,8,0,8,4,1,3
1/1/2023 4:00,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,2,0,0,0,0,17,13,4,0,,4,0,4,4,0,4
1/1/2023 5:00,2,1,1,3,1,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,,9,0,9,3,0,3
1/1/2023 6:00,2,2,0,1,1,0,5,3,2,0,0,0,5,5,0,1,1,0,0,0,0,14,7,7,0,,3,0,3,7,0,7
1/1/2023 7:00,3,2,1,1,0,1,3,1,2,0,0,0,4,4,0,0,0,0,0,0,0,22,5,17,0,,4,0,4,2,0,2
1/1/2023 8:00,0,0,0,6,2,4,12,2,10,0,0,0,2,2,0,1,1,0,0,0,0,22,7,15,0,,8,1,7,7,0,7
1/1/2023 9:00,2,1,1,32,12,20,36,14,22,0,0,0,2,2,0,1,1,0,0,0,0,21,7,14,0,,7,0,7,16,0,16
1/1/2023 10:00,2,2,0,50,15,35,58,19,39,0,0,0,4,3,1,1,1,0,0,0,0,18,6,12,0,,12,0,12,11,0,11
1/1/2023 11:00,4,3,1,60,28,32,68,27,41,0,0,0,0,0,0,11,11,0,7,7,0,15,6,9,0,,10,0,10,18,0,18
1/1/2023 12:00,5,4,1,60,28,32,103,50,53,0,0,0,0,0,0,7,7,0,4,4,0,30,16,14,0,,19,0,19,24,0,24
1/1/2023 13:00,4,3,1,65,33,32,74,35,39,0,0,0,0,0,0,7,7,0,5,5,0,35,12,23,0,,21,0,21,21,0,21
1/1/2023 14:00,6,2,4,58,27,31,76,41,35,0,0,0,1,1,0,9,9,0,2,2,0,38,14,24,0,,16,0,16,24,0,24
