STATISTIC,Statistic Label,TLIST(A1),Year,C03935V04687,Mode of Transport,C01198V01436,Weeks of the year,UNIT,VALUE
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",01,Week 01,Number,497598
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",02,Week 02,Number,633764
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",03,Week 03,Number,678097
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",04,Week 04,Number,676140
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",05,Week 05,Number,672440
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",06,Week 06,Number,696573
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",07,Week 07,Number,736594
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",08,Week 08,Number,677931
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",09,Week 09,Number,706297
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",10,Week 10,Number,718505
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",11,Week 11,Number,731042
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",12,Week 12,Number,665202
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",13,Week 13,Number,749734
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",14,Week 14,Number,725196
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",15,Week 15,Number,717874
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",16,Week 16,Number,636735
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",17,Week 17,Number,601236
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",18,Week 18,Number,727961
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",19,Week 19,Number,650874
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",20,Week 20,Number,691221
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",21,Week 21,Number,701342
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",22,Week 22,Number,681399
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",23,Week 23,Number,617748
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",24,Week 24,Number,669882
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",25,Week 25,Number,680777
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",26,Week 26,Number,686867
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",27,Week 27,Number,705163
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",28,Week 28,Number,713037
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",29,Week 29,Number,701340
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",30,Week 30,Number,713657
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",31,Week 31,Number,680616
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",32,Week 32,Number,616761
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",33,Week 33,Number,697890
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",34,Week 34,Number,689702
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",35,Week 35,Number,695388
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",36,Week 36,Number,744038
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",37,Week 37,Number,820112
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",38,Week 38,Number,828356
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",39,Week 39,Number,814190
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",40,Week 40,Number,776594
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",41,Week 41,Number,824314
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",42,Week 42,Number,805498
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",43,Week 43,Number,824331
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",44,Week 44,Number,655906
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",45,Week 45,Number,775922
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",46,Week 46,Number,783830
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",47,Week 47,Number,772760
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",48,Week 48,Number,794233
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",49,Week 49,Number,773085
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",50,Week 50,Number,768340
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",51,Week 51,Number,900418
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",52,Week 52,Number,397160
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",53,Week 53,Number,
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",01,Week 01,Number,523817
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",02,Week 02,Number,652672
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",03,Week 03,Number,693102
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",04,Week 04,Number,747531
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",05,Week 05,Number,755189
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",06,Week 06,Number,748401
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",07,Week 07,Number,729974
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",08,Week 08,Number,728267
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",09,Week 09,Number,738222
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",10,Week 10,Number,755581
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",11,Week 11,Number,585892
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",12,Week 12,Number,189509
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",13,Week 13,Number,143429
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",14,Week 14,Number,85598
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",15,Week 15,Number,91529
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",16,Week 16,Number,85871
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",17,Week 17,Number,100755
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",18,Week 18,Number,106193
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",19,Week 19,Number,110131
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",20,Week 20,Number,122686
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",21,Week 21,Number,149607
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",22,Week 22,Number,171072
