STATISTIC,Statistic Label,TLIST(A1),Year,C03935V04687,Mode of Transport,C01198V01436,Weeks of the year,VALUE
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,1,Week 01,1987891
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,2,Week 02,2709579
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,3,Week 03,2784678
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,4,Week 04,2858346
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,5,Week 05,2924821
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,6,Week 06,2979960
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,7,Week 07,3053710
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,8,Week 08,2927041
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,9,Week 09,2989171
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,10,Week 10,3065148
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,11,Week 11,2998440
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,12,Week 12,2742468
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,13,Week 13,3136873
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,14,Week 14,3087216
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,15,Week 15,3101074
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,16,Week 16,2723661
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,17,Week 17,2535513
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,18,Week 18,2990676
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,19,Week 19,2719955
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,20,Week 20,2960967
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,21,Week 21,2938021
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,22,Week 22,2900323
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,23,Week 23,2591616
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,24,Week 24,2844409
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,25,Week 25,2826773
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,26,Week 26,2840156
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,27,Week 27,2953254
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,28,Week 28,2954091
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,29,Week 29,2895372
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,30,Week 30,2939485
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,31,Week 31,2725260
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,32,Week 32,2547806
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,33,Week 33,2724875
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,34,Week 34,2793023
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,35,Week 35,2872215
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,36,Week 36,2999569
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,37,Week 37,3109763
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,38,Week 38,3182473
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,39,Week 39,3204042
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,40,Week 40,3139165
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,41,Week 41,3243670
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,42,Week 42,3238993
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,43,Week 43,3170924
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,44,Week 44,2708101
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,45,Week 45,3130443
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,46,Week 46,3206894
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,47,Week 47,3192052
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,48,Week 48,3251721
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,49,Week 49,3215990
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,50,Week 50,3271738
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,51,Week 51,3166707
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,52,Week 52,1599369
THA24C01,Passenger Journeys,2019,2019,10,Dublin Metro Bus,53,Week 53,
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",1,Week 01,497598
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",2,Week 02,633764
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",3,Week 03,678097
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",4,Week 04,676140
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",5,Week 05,672440
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",6,Week 06,696573
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",7,Week 07,736594
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",8,Week 08,677931
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",9,Week 09,706297
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",10,Week 10,718505
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",11,Week 11,731042
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",12,Week 12,665202
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",13,Week 13,749734
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",14,Week 14,725196
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",15,Week 15,717874
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",16,Week 16,636735
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",17,Week 17,601236
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",18,Week 18,727961
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",19,Week 19,650874
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",20,Week 20,691221
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",21,Week 21,701342
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",22,Week 22,681399
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",23,Week 23,617748
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",24,Week 24,669882
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",25,Week 25,680777
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",26,Week 26,686867
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",27,Week 27,705163
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",28,Week 28,713037
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",29,Week 29,701340
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",30,Week 30,713657
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",31,Week 31,680616
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",32,Week 32,616761
THA24C01,Passenger Journeys,2019,2019,20,"Bus, excluding Dublin Metro",33,Week 33,697890
